tick;position;velocity;acceleration;cubic_p;cubic_v; cubic_a;dpos;dvel
338;29,5975;3,1;-2;29,5975;3,1;-2;;
339;29,674375;3,05;-2;29,674375;3,05;-2;;
340;29,75;3;-2;29,75;3;-2;;
341;29,824375;2,95;-2;29,824375;2,95;-2;;
342;29,8975;2,9;-2;29,8975;2,9;-2;;
343;29,969375;2,85;-2;29,969375;2,85;-2;;
344;30,04;2,8;-2;30,04;2,8;-2;;
345;30,109375;2,75;-2;30,109375;2,75;-2;;
346;30,1775;2,7;-2;30,1775;2,7;-2;;
347;30,244375;2,65;-2;30,244375;2,65;-2;;
348;30,31;2,6;-2;30,31;2,6;-2;;
349;30,374375;2,55;-2;30,374375;2,55;-2;;
350;30,4375;2,5;-2;30,4375;2,5;-2;;
351;30,499375;2,45;-2;30,499375;2,45;-2;;
352;30,56;2,4;-2;30,56;2,4;-2;;
353;30,619375;2,35;-2;30,619375;2,35;-2;;
354;30,6775;2,3;-2;30,6775;2,3;-2;;
355;30,734375;2,25;-2;30,734375;2,25;-2;;
356;30,79;2,2;-2;30,79;2,2;-2;;
357;30,844375;2,15;-2;30,844375;2,15;-2;;
358;30,8975;2,1;-2;30,8975;2,1;-2;;
359;30,949375;2,05;-2;30,949375;2,05;-2;;
360;31;2;-2;31;2;-2;31;2
361;31,049375;1,95;-2;31,049375;1,95;-2;;
362;31,0975;1,9;-2;31,0975;1,9;-2;;
363;31,144375;1,85;-2;31,144375;1,85;-2;;
364;31,19;1,8;-2;31,19;1,8;-2;;
365;31,234375;1,75;-2;31,234375;1,75;-2;;
366;31,2775;1,7;-2;31,2775;1,7;-2;;
367;31,319375;1,65;-2;31,319375;1,65;-2;;
368;31,36;1,6;-2;31,36;1,6;-2;;
369;31,399375;1,55;-2;31,399375;1,55;-2;;
370;31,4375;1,5;-2;31,4375;1,5;-2;;
371;31,474375;1,45;-2;31,474375;1,45;-2;;
372;31,51;1,4;-2;31,51;1,4;-2;;
373;31,544375;1,35;-2;31,544375;1,35;-2;;
374;31,5775;1,3;-2;31,5775;1,3;-2;;
375;31,609375;1,25;-2;31,609375;1,25;-2;;
376;31,64;1,2;-2;31,64;1,2;-2;;
377;31,669375;1,15;-2;31,669375;1,15;-2;;
378;31,6975;1,1;-2;31,6975;1,1;-2;;
379;31,724375;1,05;-2;31,724375;1,05;-2;;
380;31,75;1;-2;31,75;1;-2;;
381;31,774375;0,95;-2;31,774375;0,95;-2;;
382;31,7975;0,9;-2;31,7975;0,9;-2;;
383;31,819375;0,85;-2;31,819375;0,85;-2;;
384;31,84;0,8;-2;31,84;0,8;-2;;
385;31,859375;0,75;-2;31,859375;0,75;-2;;
386;31,8775;0,7;-2;31,8775;0,7;-2;;
387;31,894375;0,65;-2;31,894375;0,65;-2;;
388;31,91;0,6;-2;31,91;0,6;-2;;
389;31,924375;0,55;-2;31,924375;0,55;-2;;
390;31,9375;0,5;-2;31,9375;0,5;-2;;
391;31,949375;0,45;-2;31,949375;0,45;-2;;
392;31,96;0,4;-2;31,96;0,4;-2;;
393;31,969375;0,35;-2;31,969375;0,35;-2;;
394;31,9775;0,3;-2;31,9775;0,3;-2;;
395;31,984375;0,25;-2;31,984375;0,25;-2;;
396;31,99;0,2;-2;31,99;0,2;-2;;
397;31,994375;0,15;-2;31,994375;0,15;-2;;
398;31,9975;0,1;-2;31,9975;0,1;-2;;
399;31,999375;0,05;-2;31,999375;0,05;-2;;
400;32;0;-2;32;0;-2;32;0
